Epoch  44 | Time     4 | Train Loss 10.2033 | Test Loss 5.455 | Test Error 100.00
Epoch  45 | Time     4 | Train Loss 10.1276 | Test Loss 5.454 | Test Error 100.00
Epoch  46 | Time     4 | Train Loss 9.8917 | Test Loss 5.453 | Test Error 100.00
Epoch  47 | Time     4 | Train Loss 9.7050 | Test Loss 5.452 | Test Error 100.00
{'batch_size': 128, 'calibration': True, 'dataset': 'TinyImageNet', 'decay': 0.0005, 'droprate': 0.3, 'epochs': 100, 'layers': 40, 'learning_rate': 0.001, 'load': './snapshots/pretrained', 'm_in': -25.0, 'm_out': -7.0, 'model': 'wrn', 'momentum': 0.9, 'ngpu': 1, 'oe_batch_size': 256, 'prefetch': 4, 'save': './snapshots/OECifar100TinyImgNetOODoe_tune', 'score': 'OE', 'seed': 1, 'test': False, 'test_bs': 200, 'widen_factor': 2}
Model Loaded!
Beginning Training

Epoch  48 | Time     4 | Train Loss 9.3057 | Test Loss 5.453 | Test Error 100.00
Epoch  49 | Time     4 | Train Loss 9.3314 | Test Loss 5.452 | Test Error 100.00
Epoch   1 | Time    10 | Train Loss 6.0644 | Test Loss 6.557 | Test Error 100.00
Epoch  50 | Time     4 | Train Loss 8.9832 | Test Loss 5.451 | Test Error 100.00
Epoch   2 | Time     4 | Train Loss 6.0654 | Test Loss 6.503 | Test Error 100.00
Epoch  51 | Time     4 | Train Loss 8.7276 | Test Loss 5.451 | Test Error 100.00
Epoch   3 | Time     5 | Train Loss 6.0211 | Test Loss 6.449 | Test Error 100.00
Epoch  52 | Time     4 | Train Loss 8.4481 | Test Loss 5.451 | Test Error 100.00
Epoch   4 | Time     4 | Train Loss 6.0328 | Test Loss 6.403 | Test Error 100.00
Epoch  53 | Time     4 | Train Loss 8.2051 | Test Loss 5.451 | Test Error 100.00
Epoch  54 | Time     4 | Train Loss 8.0810 | Test Loss 5.452 | Test Error 100.00
Epoch   5 | Time     5 | Train Loss 6.0255 | Test Loss 6.364 | Test Error 100.00
Epoch  55 | Time     4 | Train Loss 7.7953 | Test Loss 5.452 | Test Error 100.00
Epoch   6 | Time     4 | Train Loss 6.0047 | Test Loss 6.328 | Test Error 100.00
Epoch  56 | Time     4 | Train Loss 7.5494 | Test Loss 5.452 | Test Error 100.00
Epoch   7 | Time     4 | Train Loss 6.0263 | Test Loss 6.297 | Test Error 100.00
Epoch  57 | Time     4 | Train Loss 7.3734 | Test Loss 5.453 | Test Error 100.00
Epoch   8 | Time     4 | Train Loss 5.9612 | Test Loss 6.275 | Test Error 100.00
Epoch  58 | Time     4 | Train Loss 7.1482 | Test Loss 5.454 | Test Error 100.00
Epoch   9 | Time     4 | Train Loss 5.9867 | Test Loss 6.255 | Test Error 100.00
Epoch  59 | Time     4 | Train Loss 6.9001 | Test Loss 5.455 | Test Error 100.00
Epoch  10 | Time     5 | Train Loss 5.9773 | Test Loss 6.245 | Test Error 100.00
Epoch  60 | Time     4 | Train Loss 6.7228 | Test Loss 5.455 | Test Error 100.00
Epoch  11 | Time     4 | Train Loss 5.9656 | Test Loss 6.229 | Test Error 100.00
Epoch  61 | Time     5 | Train Loss 6.4632 | Test Loss 5.455 | Test Error 100.00
Epoch  12 | Time     4 | Train Loss 5.9569 | Test Loss 6.215 | Test Error 100.00
Epoch  62 | Time     4 | Train Loss 6.2482 | Test Loss 5.454 | Test Error 100.00
Epoch  13 | Time     5 | Train Loss 5.9402 | Test Loss 6.206 | Test Error 100.00
Epoch  63 | Time     4 | Train Loss 6.1301 | Test Loss 5.454 | Test Error 100.00
Epoch  14 | Time     5 | Train Loss 5.9558 | Test Loss 6.185 | Test Error 100.00
Epoch  64 | Time     4 | Train Loss 5.9110 | Test Loss 5.454 | Test Error 100.00
Epoch  15 | Time     4 | Train Loss 5.9377 | Test Loss 6.172 | Test Error 100.00
Epoch  65 | Time     4 | Train Loss 5.6603 | Test Loss 5.454 | Test Error 100.00
Epoch  16 | Time     4 | Train Loss 5.9193 | Test Loss 6.155 | Test Error 100.00
Epoch  66 | Time     4 | Train Loss 5.5783 | Test Loss 5.455 | Test Error 100.00
Epoch  17 | Time     4 | Train Loss 5.9153 | Test Loss 6.141 | Test Error 100.00
Epoch  67 | Time     4 | Train Loss 5.3688 | Test Loss 5.455 | Test Error 100.00
Epoch  18 | Time     5 | Train Loss 5.9219 | Test Loss 6.130 | Test Error 100.00
Epoch  68 | Time     4 | Train Loss 5.2350 | Test Loss 5.455 | Test Error 100.00
Epoch  19 | Time     4 | Train Loss 5.9172 | Test Loss 6.119 | Test Error 100.00
Epoch  69 | Time     4 | Train Loss 5.0364 | Test Loss 5.455 | Test Error 100.00
