epoch,time(s),train_loss,test_loss,test_error(%)
001,00011,32.269372,6.55764,100.00
002,00004,32.068869,6.48912,100.00
003,00004,31.735879,6.42942,100.00
004,00005,31.212272,6.37019,100.00
005,00004,30.203275,6.27422,100.00
006,00004,23.899244,6.10811,100.00
007,00004,17.777378,6.00837,100.00
008,00004,16.955451,6.28852,100.00
009,00004,16.143177,6.34561,100.00
010,00004,16.005477,6.31173,100.00
011,00004,15.783467,6.36935,100.00
012,00004,15.585816,6.40081,100.00
013,00004,15.588740,6.39386,100.00
014,00004,15.446029,6.36683,100.00
015,00004,15.274684,6.31369,100.00
016,00005,15.268450,6.27410,100.00
017,00004,15.064643,6.20897,100.00
018,00004,14.936896,6.13773,100.00
019,00004,14.943603,6.06388,100.00
020,00004,14.875611,6.00735,100.00
021,00004,14.576113,5.96954,100.00
022,00004,14.544649,5.93575,100.00
023,00004,14.326652,5.89856,100.00
024,00004,14.253264,5.86243,100.00
025,00004,13.930454,5.82576,100.00
026,00004,13.706817,5.79278,100.00
027,00005,13.802151,5.75981,100.00
028,00004,13.555316,5.73111,100.00
029,00004,13.297745,5.70128,100.00
030,00004,13.247194,5.67491,100.00
031,00004,13.129566,5.65023,100.00
032,00004,12.956185,5.62308,100.00
033,00004,12.828579,5.59966,100.00
034,00004,12.723438,5.58052,100.00
035,00004,12.409344,5.56037,100.00
036,00004,12.162269,5.53939,100.00
037,00004,11.875106,5.52094,100.00
038,00004,11.832881,5.51033,100.00
039,00004,11.820617,5.50335,100.00
040,00004,11.581940,5.49835,100.00
041,00004,11.354381,5.49020,100.00
042,00004,11.115630,5.48062,100.00
043,00004,10.897614,5.47415,100.00
044,00004,10.890941,5.46663,100.00
045,00004,10.564965,5.46204,100.00
046,00004,10.489072,5.45837,100.00
047,00004,10.322355,5.45640,100.00
048,00004,10.109224,5.45486,100.00
049,00004,9.814135,5.45374,100.00
050,00004,9.557128,5.45148,100.00
051,00004,9.464411,5.45199,100.00
052,00004,9.262774,5.45074,100.00
053,00004,9.078299,5.45087,100.00
054,00004,8.776006,5.45104,100.00
055,00004,8.557589,5.45029,100.00
056,00005,8.482579,5.44934,100.00
057,00004,8.351368,5.44951,100.00
058,00004,7.997980,5.44963,100.00
059,00004,7.763701,5.45066,100.00
060,00004,7.583605,5.45090,100.00
061,00004,7.251684,5.45124,100.00
062,00004,7.194728,5.45220,100.00
063,00004,6.898303,5.45345,100.00
064,00004,6.709012,5.45416,100.00
065,00004,6.646023,5.45398,100.00
066,00004,6.405674,5.45332,100.00
067,00004,6.201270,5.45237,100.00
068,00004,6.087601,5.45173,100.00
069,00004,5.895674,5.45093,100.00
070,00004,5.638106,5.45070,100.00
071,00004,5.546937,5.45028,100.00
072,00004,5.432250,5.44996,100.00
073,00004,5.214338,5.44990,100.00
074,00004,5.054108,5.44942,100.00
075,00005,4.959793,5.44907,100.00
076,00004,4.924296,5.44832,100.00
077,00004,4.849596,5.44702,100.00
078,00004,4.646226,5.44606,100.00
079,00004,4.603007,5.44397,100.00
080,00004,4.487708,5.44277,100.00
081,00004,4.434709,5.44104,100.00
082,00004,4.346655,5.43971,100.00
083,00004,4.270885,5.43807,100.00
084,00004,4.216365,5.43673,100.00
085,00004,4.182575,5.43633,100.00
086,00004,4.138033,5.43503,100.00
087,00004,4.082161,5.43363,100.00
088,00004,4.044644,5.43299,100.00
089,00004,3.988767,5.43228,100.00
090,00004,3.913380,5.43091,100.00
091,00004,3.890012,5.42846,100.00
092,00004,3.896891,5.42634,100.00
093,00004,3.860983,5.42330,100.00
094,00004,3.807558,5.42074,100.00
095,00004,3.811793,5.42018,100.00
096,00004,3.808788,5.42122,100.00
097,00005,3.807741,5.42027,100.00
098,00004,3.734126,5.42078,100.00
099,00004,3.758189,5.42074,100.00
100,00004,3.713386,5.42089,100.00
101,00004,3.699534,5.42071,100.00
102,00004,3.694403,5.42109,100.00
103,00005,3.669926,5.42041,100.00
104,00004,3.659419,5.42100,100.00
105,00004,3.678874,5.42120,100.00
106,00004,3.625262,5.42193,100.00
107,00004,3.644420,5.42240,100.00
108,00004,3.631098,5.42218,100.00
109,00004,3.607043,5.42204,100.00
110,00004,3.609908,5.42171,100.00
111,00004,3.607607,5.41969,100.00
112,00004,3.606921,5.41906,100.00
113,00004,3.581770,5.41867,100.00
114,00004,3.595280,5.41857,100.00
115,00004,3.597087,5.41763,100.00
116,00004,3.560467,5.41652,100.00
117,00004,3.546871,5.41482,100.00
118,00004,3.587953,5.41225,100.00
119,00004,3.530538,5.40922,100.00
120,00004,3.573040,5.40538,100.00
121,00004,3.545532,5.40452,100.00
122,00004,3.521578,5.40414,100.00
123,00004,3.516851,5.40376,100.00
124,00004,3.517791,5.40327,100.00
125,00004,3.464930,5.40233,100.00
126,00004,3.546916,5.40103,100.00
127,00004,3.499446,5.40072,100.00
128,00004,3.460529,5.40080,100.00
129,00004,3.542435,5.40189,100.00
130,00004,3.527364,5.40198,100.00
131,00004,3.452053,5.40060,100.00
132,00004,3.426041,5.39948,100.00
133,00004,3.471296,5.39945,100.00
134,00004,3.438888,5.39864,100.00
135,00004,3.462604,5.39835,100.00
136,00004,3.448896,5.39989,100.00
137,00004,3.475238,5.40117,100.00
138,00004,3.416305,5.40087,100.00
139,00004,3.414413,5.39853,100.00
140,00004,3.421265,5.39571,100.00
141,00004,3.460472,5.39407,100.00
142,00004,3.406426,5.39261,100.00
143,00004,3.434300,5.39052,100.00
144,00004,3.447107,5.38716,100.00
145,00004,3.426642,5.38312,100.00
146,00004,3.380234,5.37857,100.00
147,00004,3.395954,5.37448,100.00
