epoch,time(s),train_loss,test_loss,test_error(%)
001,00011,32.257260,6.54720,100.00
002,00004,32.073046,6.48612,100.00
003,00004,31.708867,6.42919,100.00
004,00004,31.181252,6.36483,100.00
005,00004,30.071044,6.26695,100.00
006,00004,22.777580,6.08729,100.00
007,00004,17.800858,5.99457,100.00
008,00004,16.713721,6.26558,100.00
009,00004,16.199007,6.28503,100.00
010,00004,15.897820,6.24472,100.00
011,00004,15.735380,6.29013,100.00
012,00004,15.557765,6.33076,100.00
013,00004,15.546241,6.31625,100.00
014,00004,15.420319,6.28657,100.00
015,00004,15.309086,6.23390,100.00
016,00004,15.139895,6.16472,100.00
017,00004,14.985290,6.10266,100.00
018,00004,14.748663,6.03943,100.00
019,00004,14.771465,5.99235,100.00
020,00004,14.612423,5.94137,100.00
021,00004,14.406837,5.89938,100.00
022,00004,14.358951,5.85755,100.00
023,00004,14.269969,5.83212,100.00
024,00004,13.989233,5.79939,100.00
025,00004,13.847753,5.76743,100.00
026,00004,13.736708,5.73979,100.00
027,00004,13.383182,5.70742,100.00
028,00004,13.476018,5.67681,100.00
029,00004,13.131789,5.65493,100.00
030,00004,13.008175,5.62925,100.00
031,00004,12.773656,5.60049,100.00
032,00004,12.756176,5.57684,100.00
033,00004,12.343962,5.55565,100.00
034,00004,12.244483,5.53664,100.00
035,00004,12.094078,5.51923,100.00
036,00004,11.935778,5.50799,100.00
037,00004,11.462607,5.49201,100.00
038,00004,11.498344,5.47854,100.00
039,00004,11.166071,5.47021,100.00
040,00004,11.049783,5.46576,100.00
041,00004,10.706123,5.46344,100.00
042,00004,10.616577,5.45969,100.00
043,00004,10.442064,5.45723,100.00
044,00004,10.203310,5.45533,100.00
045,00004,10.127608,5.45368,100.00
046,00004,9.891660,5.45274,100.00
047,00004,9.704986,5.45237,100.00
048,00004,9.305680,5.45311,100.00
049,00004,9.331428,5.45207,100.00
050,00004,8.983209,5.45083,100.00
051,00004,8.727552,5.45067,100.00
052,00004,8.448050,5.45067,100.00
053,00004,8.205063,5.45107,100.00
054,00004,8.080952,5.45192,100.00
055,00004,7.795347,5.45248,100.00
056,00004,7.549402,5.45234,100.00
057,00004,7.373385,5.45294,100.00
058,00004,7.148226,5.45378,100.00
059,00004,6.900134,5.45473,100.00
060,00004,6.722760,5.45485,100.00
061,00005,6.463154,5.45475,100.00
062,00004,6.248173,5.45443,100.00
063,00004,6.130144,5.45382,100.00
064,00004,5.911041,5.45411,100.00
065,00004,5.660290,5.45426,100.00
066,00004,5.578262,5.45463,100.00
067,00004,5.368796,5.45489,100.00
068,00004,5.235031,5.45477,100.00
069,00004,5.036432,5.45456,100.00
070,00004,4.957664,5.45397,100.00
071,00004,4.824473,5.45331,100.00
072,00004,4.725019,5.45291,100.00
073,00004,4.547310,5.45295,100.00
074,00004,4.483983,5.45272,100.00
075,00004,4.439589,5.45252,100.00
076,00004,4.348064,5.45221,100.00
077,00004,4.268531,5.45268,100.00
078,00004,4.179010,5.45211,100.00
079,00004,4.093685,5.45212,100.00
080,00004,4.032568,5.45165,100.00
081,00005,3.972169,5.45152,100.00
082,00004,3.958924,5.45137,100.00
083,00004,3.918997,5.45146,100.00
084,00004,3.904945,5.45097,100.00
085,00004,3.842513,5.45058,100.00
086,00004,3.820603,5.44971,100.00
087,00004,3.796831,5.44940,100.00
088,00004,3.765867,5.44935,100.00
089,00004,3.744336,5.44919,100.00
090,00004,3.720798,5.44962,100.00
091,00004,3.725577,5.45003,100.00
092,00004,3.666879,5.45038,100.00
093,00004,3.670861,5.44988,100.00
094,00004,3.656945,5.44933,100.00
095,00004,3.647319,5.44888,100.00
096,00004,3.621949,5.44863,100.00
097,00004,3.623951,5.44841,100.00
098,00004,3.618034,5.44830,100.00
099,00004,3.604973,5.44833,100.00
100,00004,3.595467,5.44836,100.00
