epoch,time(s),train_loss,test_loss,test_error(%)
001,00007,6.074928,6.56459,100.00
002,00005,6.060501,6.50183,100.00
003,00005,6.053261,6.44734,100.00
004,00005,6.035119,6.40593,100.00
005,00005,6.025016,6.37816,100.00
006,00004,6.010990,6.35196,100.00
007,00005,5.986365,6.32979,100.00
008,00004,5.988771,6.30866,100.00
009,00004,5.964106,6.29213,100.00
010,00005,5.961277,6.29150,100.00
011,00005,5.968319,6.28103,100.00
012,00005,5.960103,6.26746,100.00
013,00004,5.984905,6.25368,100.00
014,00004,5.959392,6.24290,100.00
015,00004,5.959286,6.22932,100.00
016,00005,5.936066,6.20852,100.00
017,00005,5.925275,6.19320,100.00
018,00004,5.912305,6.18132,100.00
019,00005,5.935250,6.15881,100.00
020,00005,5.942241,6.14080,100.00
021,00004,5.907795,6.13079,100.00
022,00004,5.920239,6.11920,100.00
023,00005,5.911174,6.10565,100.00
024,00004,5.920491,6.09547,100.00
025,00004,5.911488,6.08169,100.00
026,00004,5.895557,6.06023,100.00
027,00004,5.905359,6.03851,100.00
028,00004,5.902498,6.03038,100.00
029,00004,5.886517,6.01984,100.00
030,00004,5.887717,6.01055,100.00
031,00005,5.879960,6.01034,100.00
032,00004,5.887965,6.00260,100.00
033,00004,5.890161,5.99103,100.00
034,00004,5.882351,5.97500,100.00
035,00004,5.862732,5.95982,100.00
036,00004,5.874778,5.94201,100.00
037,00004,5.860565,5.92931,100.00
038,00005,5.853350,5.91324,100.00
039,00004,5.857223,5.90060,100.00
040,00004,5.880498,5.88881,100.00
041,00004,5.862747,5.88216,100.00
042,00004,5.832952,5.86124,99.99
043,00005,5.843601,5.85861,100.00
044,00004,5.848716,5.84243,100.00
045,00004,5.831140,5.83034,100.00
046,00004,5.824627,5.81638,99.99
047,00004,5.847115,5.80080,99.99
048,00004,5.820975,5.78234,99.99
049,00005,5.830853,5.77809,99.99
050,00006,5.805453,5.76119,99.99
051,00005,5.785159,5.74719,99.99
052,00004,5.811786,5.73223,99.99
053,00004,5.810826,5.72656,99.99
054,00004,5.809710,5.71172,99.99
055,00004,5.797050,5.69351,99.99
056,00004,5.792230,5.68217,99.99
057,00004,5.800930,5.68373,99.99
058,00004,5.811334,5.67955,99.99
059,00005,5.768877,5.67748,99.99
060,00004,5.768570,5.67008,99.99
061,00004,5.748494,5.66852,99.99
062,00004,5.766059,5.66957,99.99
063,00004,5.726507,5.67515,99.99
064,00005,5.744243,5.67245,99.99
065,00004,5.751456,5.66631,99.99
066,00005,5.738176,5.65245,99.99
067,00004,5.718604,5.63179,99.99
068,00004,5.742761,5.61556,99.99
069,00005,5.711668,5.60895,99.99
070,00004,5.713264,5.60073,99.99
071,00004,5.713057,5.60360,99.99
072,00004,5.689648,5.59393,99.99
073,00004,5.673519,5.58887,99.98
074,00005,5.668725,5.58424,99.98
075,00005,5.673699,5.57232,99.97
076,00004,5.688284,5.55992,99.97
077,00004,5.659343,5.55724,99.97
078,00004,5.649087,5.54565,99.97
079,00005,5.641204,5.50873,99.96
080,00005,5.636262,5.49254,99.94
081,00004,5.631522,5.48031,99.93
082,00005,5.612973,5.46044,99.90
083,00004,5.625156,5.44995,99.87
084,00005,5.627056,5.44217,99.82
085,00004,5.653238,5.43971,99.82
086,00004,5.659726,5.43820,99.82
087,00004,5.566866,5.43178,99.81
088,00005,5.601954,5.41795,99.77
089,00004,5.566782,5.41216,99.76
090,00004,5.578652,5.41139,99.75
091,00004,5.564999,5.40554,99.73
092,00004,5.583406,5.40668,99.71
093,00004,5.553569,5.41372,99.75
094,00004,5.517292,5.42246,99.78
095,00004,5.553463,5.41568,99.78
096,00005,5.525970,5.41458,99.77
097,00004,5.502598,5.40371,99.74
098,00004,5.474152,5.40572,99.75
099,00004,5.524764,5.41043,99.80
100,00006,5.473266,5.41832,99.83
101,00005,5.441005,5.41199,99.80
102,00004,5.456100,5.41592,99.80
103,00005,5.458389,5.41331,99.79
104,00004,5.418948,5.41582,99.81
105,00004,5.436703,5.41280,99.81
106,00004,5.424443,5.42181,99.81
107,00004,5.440924,5.42937,99.83
108,00004,5.413947,5.42627,99.82
109,00004,5.380114,5.42389,99.81
110,00004,5.386313,5.42983,99.83
111,00004,5.410269,5.42677,99.82
112,00005,5.360619,5.41729,99.79
113,00004,5.346053,5.41374,99.78
114,00004,5.363963,5.40784,99.75
115,00004,5.361896,5.40292,99.72
116,00004,5.366473,5.39493,99.70
117,00004,5.312331,5.40070,99.71
118,00005,5.326916,5.39728,99.71
119,00004,5.270341,5.40233,99.72
120,00004,5.321395,5.39366,99.71
121,00004,5.329412,5.38328,99.68
122,00004,5.298300,5.39283,99.67
123,00004,5.243172,5.40299,99.70
124,00004,5.230279,5.40203,99.71
125,00004,5.208046,5.39644,99.71
126,00004,5.288665,5.38748,99.69
127,00004,5.252329,5.38576,99.69
128,00004,5.187963,5.37939,99.67
129,00005,5.235946,5.37326,99.66
130,00004,5.228658,5.36116,99.61
131,00004,5.160941,5.35285,99.56
132,00005,5.159303,5.35304,99.54
133,00004,5.184115,5.34563,99.57
134,00004,5.124131,5.33619,99.53
135,00004,5.177402,5.33856,99.56
136,00005,5.122122,5.34629,99.58
137,00005,5.196196,5.34632,99.62
138,00004,5.129523,5.34042,99.58
139,00004,5.097470,5.33818,99.58
140,00004,5.131521,5.34146,99.57
141,00004,5.166218,5.34958,99.63
142,00004,5.093668,5.35682,99.64
143,00004,5.144432,5.36259,99.65
144,00004,5.125207,5.35498,99.64
145,00005,5.135865,5.35458,99.68
146,00004,5.088673,5.35184,99.68
147,00004,5.105149,5.35880,99.68
148,00004,5.080590,5.35573,99.69
149,00004,5.054235,5.35850,99.72
150,00004,5.092461,5.35986,99.70
151,00004,5.088831,5.36465,99.72
152,00005,5.057454,5.37377,99.75
153,00004,5.053963,5.36860,99.73
154,00004,5.043823,5.36085,99.73
155,00004,5.011110,5.35884,99.73
156,00004,5.020107,5.35195,99.73
157,00004,4.987394,5.34703,99.72
158,00004,5.004816,5.34613,99.70
159,00005,5.047580,5.34403,99.71
160,00004,5.004402,5.33520,99.67
161,00005,4.981711,5.33194,99.61
162,00004,5.029863,5.33451,99.63
163,00004,5.047341,5.33795,99.60
164,00004,5.004466,5.34406,99.64
165,00004,4.975330,5.34584,99.66
166,00004,4.954986,5.34913,99.68
167,00004,5.013497,5.34402,99.63
168,00004,4.929454,5.34424,99.69
169,00005,4.964084,5.34453,99.70
170,00004,4.968762,5.34475,99.69
171,00004,4.946855,5.34260,99.65
172,00004,4.961125,5.34232,99.66
173,00005,5.008788,5.34335,99.66
174,00004,4.906189,5.34523,99.70
175,00004,4.924448,5.34548,99.71
176,00004,4.943005,5.34601,99.71
177,00004,4.909428,5.34471,99.70
178,00005,4.895474,5.34278,99.67
179,00004,4.940542,5.34352,99.69
180,00004,4.828237,5.34268,99.68
181,00004,4.876916,5.34105,99.67
182,00004,4.882413,5.34477,99.71
183,00005,4.906293,5.34681,99.70
184,00004,4.827758,5.34963,99.71
185,00004,4.900399,5.34427,99.68
186,00004,4.866733,5.34155,99.70
187,00004,4.877140,5.34061,99.69
188,00004,4.869158,5.34664,99.68
189,00004,4.803086,5.35254,99.70
190,00004,4.867476,5.35997,99.71
191,00005,4.883644,5.36150,99.71
192,00004,4.837876,5.36263,99.70
193,00004,4.842389,5.35198,99.69
194,00004,4.814000,5.34570,99.66
195,00004,4.849354,5.34143,99.66
196,00004,4.817793,5.33822,99.65
197,00004,4.811247,5.33630,99.63
198,00004,4.842055,5.33731,99.64
199,00004,4.786736,5.33984,99.65
