epoch,time(s),train_loss,test_loss,test_error(%)
001,00010,6.064391,6.55678,100.00
002,00004,6.065406,6.50286,100.00
003,00005,6.021118,6.44944,100.00
004,00004,6.032849,6.40296,100.00
005,00005,6.025518,6.36379,100.00
006,00004,6.004651,6.32766,100.00
007,00004,6.026324,6.29715,100.00
008,00004,5.961170,6.27507,100.00
009,00004,5.986734,6.25498,100.00
010,00005,5.977331,6.24536,100.00
011,00004,5.965584,6.22860,100.00
012,00004,5.956919,6.21463,100.00
013,00005,5.940214,6.20573,100.00
014,00005,5.955818,6.18540,100.00
015,00004,5.937749,6.17183,100.00
016,00004,5.919255,6.15539,100.00
017,00004,5.915255,6.14109,100.00
018,00005,5.921907,6.12992,100.00
019,00004,5.917245,6.11856,100.00
020,00005,5.915791,6.10835,100.00
021,00004,5.911709,6.09712,100.00
022,00004,5.922145,6.08082,100.00
023,00004,5.910929,6.06237,100.00
024,00004,5.898080,6.05491,100.00
025,00004,5.892523,6.04455,100.00
026,00004,5.889148,6.03086,100.00
027,00004,5.864844,6.02163,100.00
028,00005,5.864669,6.00889,100.00
029,00004,5.875911,5.99720,100.00
030,00004,5.851930,5.98785,100.00
031,00005,5.859697,5.98281,100.00
032,00005,5.862699,5.97400,100.00
033,00005,5.847931,5.96963,100.00
034,00004,5.873861,5.96542,100.00
035,00004,5.836551,5.95741,100.00
036,00005,5.829360,5.94092,100.00
037,00004,5.821172,5.91972,100.00
038,00004,5.826788,5.90755,100.00
039,00005,5.813852,5.88679,100.00
040,00004,5.830838,5.86647,99.99
041,00004,5.811607,5.86402,99.99
042,00005,5.821314,5.84727,99.99
043,00004,5.800352,5.83698,99.99
044,00004,5.805531,5.82409,99.99
045,00004,5.806172,5.80149,99.99
046,00004,5.793405,5.78186,99.99
047,00004,5.801422,5.76623,99.99
048,00004,5.760441,5.75356,99.99
049,00004,5.774126,5.74258,99.99
050,00004,5.749137,5.72507,99.99
051,00004,5.750918,5.70376,99.99
052,00004,5.773838,5.68739,99.99
053,00005,5.743321,5.67804,99.99
054,00005,5.752518,5.68034,99.99
055,00004,5.748278,5.67034,99.99
056,00004,5.741736,5.65563,99.99
057,00004,5.716025,5.64891,99.99
058,00004,5.704768,5.64956,99.99
059,00004,5.721753,5.64451,99.98
060,00004,5.688906,5.64048,99.98
061,00004,5.691488,5.63227,99.98
062,00004,5.665621,5.62699,99.98
063,00004,5.663923,5.61681,99.98
064,00004,5.632705,5.60480,99.98
065,00004,5.674065,5.59548,99.98
066,00004,5.647590,5.59609,99.98
067,00005,5.635619,5.60365,99.98
068,00004,5.648767,5.60031,99.98
069,00004,5.611737,5.59597,99.98
070,00004,5.644952,5.58060,99.98
071,00004,5.627066,5.56206,99.97
072,00004,5.575076,5.54814,99.97
073,00004,5.593433,5.54244,99.95
074,00005,5.567342,5.54003,99.95
075,00005,5.631536,5.53286,99.96
076,00004,5.555280,5.52882,99.96
077,00004,5.595944,5.53053,99.96
078,00004,5.571024,5.51806,99.96
079,00004,5.537356,5.50691,99.95
080,00004,5.529678,5.49731,99.96
081,00004,5.513767,5.48754,99.95
082,00004,5.519932,5.48571,99.95
083,00004,5.504823,5.47264,99.92
084,00004,5.495623,5.46080,99.92
085,00004,5.490481,5.45279,99.92
086,00004,5.480637,5.43314,99.92
087,00004,5.502809,5.41475,99.88
088,00004,5.452176,5.41115,99.88
089,00004,5.467336,5.40578,99.88
090,00004,5.410444,5.40209,99.86
091,00004,5.459146,5.39388,99.87
092,00004,5.410250,5.39182,99.88
093,00004,5.425475,5.38550,99.85
094,00005,5.400436,5.37124,99.85
095,00005,5.402319,5.35838,99.82
096,00005,5.352500,5.36038,99.83
097,00004,5.405599,5.36550,99.86
098,00004,5.360973,5.36265,99.80
099,00004,5.386081,5.36212,99.80
100,00004,5.350680,5.37247,99.83
