Epoch  20 | Time     4 | Train Loss 14.8756 | Test Loss 6.007 | Test Error 100.00
Epoch  21 | Time     4 | Train Loss 14.5761 | Test Loss 5.970 | Test Error 100.00
Epoch  22 | Time     4 | Train Loss 14.5446 | Test Loss 5.936 | Test Error 100.00
{'batch_size': 128, 'calibration': False, 'dataset': 'TinyImageNet', 'decay': 0.0005, 'droprate': 0.3, 'epochs': 5000, 'layers': 40, 'learning_rate': 0.001, 'load': './snapshots/pretrained', 'm_in': -25.0, 'm_out': -7.0, 'model': 'wrn', 'momentum': 0.9, 'ngpu': 1, 'oe_batch_size': 256, 'prefetch': 4, 'save': './snapshots/OE5kEpochsCifar100TinyImgNetOODoe_tune', 'score': 'OE', 'seed': 1, 'test': False, 'test_bs': 200, 'widen_factor': 2}
Model Loaded!
Beginning Training

Epoch  23 | Time     4 | Train Loss 14.3267 | Test Loss 5.899 | Test Error 100.00
Epoch   1 | Time     7 | Train Loss 6.0749 | Test Loss 6.565 | Test Error 100.00
Epoch  24 | Time     4 | Train Loss 14.2533 | Test Loss 5.862 | Test Error 100.00
Epoch   2 | Time     5 | Train Loss 6.0605 | Test Loss 6.502 | Test Error 100.00
Epoch  25 | Time     4 | Train Loss 13.9305 | Test Loss 5.826 | Test Error 100.00
Epoch   3 | Time     5 | Train Loss 6.0533 | Test Loss 6.447 | Test Error 100.00
Epoch  26 | Time     4 | Train Loss 13.7068 | Test Loss 5.793 | Test Error 100.00
Epoch   4 | Time     5 | Train Loss 6.0351 | Test Loss 6.406 | Test Error 100.00
Epoch  27 | Time     5 | Train Loss 13.8022 | Test Loss 5.760 | Test Error 100.00
Epoch   5 | Time     5 | Train Loss 6.0250 | Test Loss 6.378 | Test Error 100.00
Epoch  28 | Time     4 | Train Loss 13.5553 | Test Loss 5.731 | Test Error 100.00
Epoch   6 | Time     4 | Train Loss 6.0110 | Test Loss 6.352 | Test Error 100.00
Epoch  29 | Time     4 | Train Loss 13.2977 | Test Loss 5.701 | Test Error 100.00
Epoch   7 | Time     5 | Train Loss 5.9864 | Test Loss 6.330 | Test Error 100.00
Epoch  30 | Time     4 | Train Loss 13.2472 | Test Loss 5.675 | Test Error 100.00
Epoch   8 | Time     4 | Train Loss 5.9888 | Test Loss 6.309 | Test Error 100.00
Epoch  31 | Time     4 | Train Loss 13.1296 | Test Loss 5.650 | Test Error 100.00
Epoch   9 | Time     4 | Train Loss 5.9641 | Test Loss 6.292 | Test Error 100.00
Epoch  32 | Time     4 | Train Loss 12.9562 | Test Loss 5.623 | Test Error 100.00
Epoch  10 | Time     5 | Train Loss 5.9613 | Test Loss 6.291 | Test Error 100.00
Epoch  33 | Time     4 | Train Loss 12.8286 | Test Loss 5.600 | Test Error 100.00
Epoch  11 | Time     5 | Train Loss 5.9683 | Test Loss 6.281 | Test Error 100.00
Epoch  34 | Time     4 | Train Loss 12.7234 | Test Loss 5.581 | Test Error 100.00
Epoch  12 | Time     5 | Train Loss 5.9601 | Test Loss 6.267 | Test Error 100.00
Epoch  35 | Time     4 | Train Loss 12.4093 | Test Loss 5.560 | Test Error 100.00
Epoch  13 | Time     4 | Train Loss 5.9849 | Test Loss 6.254 | Test Error 100.00
Epoch  36 | Time     4 | Train Loss 12.1623 | Test Loss 5.539 | Test Error 100.00
Epoch  14 | Time     4 | Train Loss 5.9594 | Test Loss 6.243 | Test Error 100.00
Epoch  37 | Time     4 | Train Loss 11.8751 | Test Loss 5.521 | Test Error 100.00
Epoch  15 | Time     4 | Train Loss 5.9593 | Test Loss 6.229 | Test Error 100.00
Epoch  38 | Time     4 | Train Loss 11.8329 | Test Loss 5.510 | Test Error 100.00
Epoch  16 | Time     5 | Train Loss 5.9361 | Test Loss 6.209 | Test Error 100.00
Epoch  39 | Time     4 | Train Loss 11.8206 | Test Loss 5.503 | Test Error 100.00
Epoch  17 | Time     5 | Train Loss 5.9253 | Test Loss 6.193 | Test Error 100.00
Epoch  40 | Time     4 | Train Loss 11.5819 | Test Loss 5.498 | Test Error 100.00
Epoch  18 | Time     4 | Train Loss 5.9123 | Test Loss 6.181 | Test Error 100.00
Epoch  41 | Time     4 | Train Loss 11.3544 | Test Loss 5.490 | Test Error 100.00
Epoch  19 | Time     5 | Train Loss 5.9353 | Test Loss 6.159 | Test Error 100.00
Epoch  42 | Time     4 | Train Loss 11.1156 | Test Loss 5.481 | Test Error 100.00
Epoch  20 | Time     5 | Train Loss 5.9422 | Test Loss 6.141 | Test Error 100.00
Epoch  43 | Time     4 | Train Loss 10.8976 | Test Loss 5.474 | Test Error 100.00
Epoch  21 | Time     4 | Train Loss 5.9078 | Test Loss 6.131 | Test Error 100.00
Epoch  44 | Time     4 | Train Loss 10.8909 | Test Loss 5.467 | Test Error 100.00
Epoch  22 | Time     4 | Train Loss 5.9202 | Test Loss 6.119 | Test Error 100.00
Epoch  45 | Time     4 | Train Loss 10.5650 | Test Loss 5.462 | Test Error 100.00
